event_name,group,strategy,side,exit_offset_min,entry_price,exit_price,pnl_pct,pnl_pct_after_fees
NFP_Sep2025_Delayed,NFP,strat2_pre_short,short,30,3022.38,2998.62,0.786135,0.686135
NFP_Sep2025_Delayed,NFP,strat2_pre_short,short,60,3022.38,3012.18,0.337482,0.237482
NFP_Sep2025_Delayed,NFP,strat2_pre_short,short,120,3022.38,2986.6,1.183835,1.083835
NFP_Nov2025_Delayed,NFP,strat1_pre_long,long,15,2950.92,2931.23,-0.66725,-0.76725
NFP_Nov2025_Delayed,NFP,strat1_pre_long,long,30,2950.92,2909.09,-1.417524,-1.517524
NFP_Nov2025_Delayed,NFP,strat1_pre_long,long,60,2950.92,2931.65,-0.653017,-0.753017
NFP_Nov2025_Delayed,NFP,strat1_pre_long,long,120,2950.92,2924.48,-0.895992,-0.995992
NFP_Nov2025_Delayed,NFP,strat2_pre_short,short,15,2950.92,2931.23,0.66725,0.56725
NFP_Nov2025_Delayed,NFP,strat2_pre_short,short,30,2950.92,2909.09,1.417524,1.317524
NFP_Nov2025_Delayed,NFP,strat2_pre_short,short,60,2950.92,2931.65,0.653017,0.553017
NFP_Nov2025_Delayed,NFP,strat2_pre_short,short,120,2950.92,2924.48,0.895992,0.795992
