split,variant,trade_number,event_name,event_type,event_pnl_pct,equity_unscaled,equity_10pct_acct,rolling_peak_unscaled,drawdown_unscaled_pct,drawdown_10pct_acct_pct
full_year,D_straddle_TP1.5_SL1.0,15,CPI_Aug2025,CPI,0.25,1.029186,1.002884,1.029186,-0.1193,-0.0119
full_year,D_straddle_TP1.5_SL1.0,16,FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,-1.0,1.018894,1.001882,1.029186,-1.0,-0.1
full_year,D_straddle_TP1.5_SL1.0,17,CPI_Sep2025_Delayed,CPI,0.25,1.021442,1.002132,1.029186,-1.0,-0.1
full_year,D_straddle_TP1.5_SL1.0,18,FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,0.25,1.023995,1.002383,1.029186,-1.0,-0.1
full_year,D_straddle_TP1.5_SL1.0,19,FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,0.25,1.026555,1.002633,1.029186,-1.0,-0.1
full_year,D_straddle_TP1.5_SL1.0,20,CPI_Nov2025_Delayed,CPI,0.25,1.029122,1.002884,1.029186,-1.0,-0.1
full_year,E_best_straddle,1,CPI_Dec2024,CPI,1.25,1.0125,1.00125,1.0125,0.0,0.0
full_year,E_best_straddle,2,FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,1.25,1.025156,1.002502,1.025156,0.0,0.0
full_year,E_best_straddle,3,CPI_Jan2025,CPI,-0.5,1.02003,1.002,1.025156,-0.5,-0.05
full_year,E_best_straddle,4,CPI_Feb2025,CPI,-0.5,1.01493,1.001499,1.025156,-0.9975,-0.1
full_year,E_best_straddle,5,FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,0.1307,1.016256,1.00163,1.025156,-0.9975,-0.1
full_year,E_best_straddle,6,CPI_Mar2025,CPI,-0.5,1.011175,1.001129,1.025156,-1.3638,-0.1369
full_year,E_best_straddle,7,FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,-0.5,1.006119,1.000629,1.025156,-1.857,-0.1868
full_year,E_best_straddle,8,CPI_Apr2025,CPI,0.7344,1.013508,1.001364,1.025156,-1.857,-0.1868
full_year,E_best_straddle,9,CPI_May2025,CPI,0.9835,1.023477,1.002349,1.025156,-1.857,-0.1868
full_year,E_best_straddle,10,FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,-0.5,1.018359,1.001847,1.025156,-1.857,-0.1868
full_year,E_best_straddle,11,CPI_Jun2025,CPI,1.25,1.031089,1.0031,1.031089,-1.857,-0.1868
full_year,E_best_straddle,12,FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,1.25,1.043977,1.004354,1.043977,-1.857,-0.1868
full_year,E_best_straddle,13,CPI_Jul2025,CPI,1.25,1.057027,1.005609,1.057027,-1.857,-0.1868
full_year,E_best_straddle,14,Powell_Jackson_Hole,JACKSON_HOLE,-0.5,1.051742,1.005106,1.057027,-1.857,-0.1868
full_year,E_best_straddle,15,CPI_Aug2025,CPI,-0.5,1.046483,1.004604,1.057027,-1.857,-0.1868
full_year,E_best_straddle,16,FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,-0.5,1.041251,1.004101,1.057027,-1.857,-0.1868
full_year,E_best_straddle,17,CPI_Sep2025_Delayed,CPI,-0.5,1.036044,1.003599,1.057027,-1.985,-0.1999
full_year,E_best_straddle,18,FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,1.25,1.048995,1.004854,1.057027,-1.985,-0.1999
full_year,E_best_straddle,19,FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,-0.5,1.04375,1.004351,1.057027,-1.985,-0.1999
full_year,E_best_straddle,20,CPI_Nov2025_Delayed,CPI,1.25,1.056797,1.005607,1.057027,-1.985,-0.1999
